E:\pix2tex_project\data\samples\frac.png	\frac{a}{b}
E:\pix2tex_project\data\samples\quadratic.png	x_{1,2} = \frac{-b \pm \sqrt{b^2-4ac}}{2a}
E:\pix2tex_project\data\samples\pythagoras.png	x^2 + y^2 = z^2
E:\pix2tex_project\data\samples\summation.png	\sum_{i=1}^{n} x_i = S
E:\pix2tex_project\data\samples\integral.png	\int_0^1 x^2 \, dx = \frac{1}{3}
E:\pix2tex_project\data\samples\euler.png	e^{i\pi} + 1 = 0
E:\pix2tex_project\data\samples\alpha_beta.png	\alpha + \beta = \gamma
E:\pix2tex_project\data\samples\limit.png	\lim_{x \to \infty} \frac{1}{x} = 0
E:\pix2tex_project\data\samples\sqrt.png	\sqrt{2\pi r}
E:\pix2tex_project\data\samples\matrix.png	[a\ b;\ c\ d]
E:\pix2tex_project\data\samples\binomial.png	\binom{n}{k} = \frac{n!}{k!(n-k)!}
E:\pix2tex_project\data\samples\vector.png	\vec{F} = m \vec{a}
E:\pix2tex_project\data\samples\maxwell.png	\nabla \cdot \mathbf{E} = \frac{\rho}{\varepsilon_0}
E:\pix2tex_project\data\samples\prob.png	P(A \mid B) = \frac{P(B \mid A) P(A)}{P(B)}
E:\pix2tex_project\data\samples\continued_frac.png	\frac{1}{1 + \frac{1}{2}}
E:\pix2tex_project\data\samples\derivative.png	\frac{d}{dx} x^n = n x^{n-1}
